Id,Name,Period,Wikipedia URL
ld1-1643399756728-1643399810255-0,John Winthrop,1587/8 - 1649,https://en.wikipedia.org/wiki/John_Winthrop
ld1-1643399756728-1643399810719-0,Margaret Fuller,23 May 1810 - 19 Jul 1850,https://en.wikipedia.org/wiki/Margaret_Fuller
ld1-1643399756728-1643399810943-0,Thurlow Weed,15 Nov 1797 - 22 Nov 1882,https://en.wikipedia.org/wiki/Thurlow_Weed
ld1-1643399756728-1643399810978-0,Thomas E. Kirby,14 Nov 1846 - 16 Jan 1924,https://en.wikipedia.org/wiki/Thomas_E._Kirby
ld1-1643399756728-1643399810987-0,Henry Kirke Brown,25 Feb 1814 - 10 Jul 1886,https://en.wikipedia.org/wiki/Henry_Kirke_Brown
ld1-1643399756728-1643399812644-0,Frank Billings Kellogg,22 Dec 1856 - 21 Dec 1937,https://en.wikipedia.org/wiki/Frank_Billings_Kellogg
ld1-1643399756728-1643399812894-0,John Bradstreet,21 Dec 1714 - 25 Sep 1774,https://en.wikipedia.org/wiki/John_Bradstreet
ld1-1643399756728-1643399812938-1,William Carmichael,? - Feb 1795,https://en.wikipedia.org/wiki/William_Carmichael_(diplomat)
ld1-1643399756728-1643399812941-1,Charles Cotesworth Pinckney,25 Feb 1746 - 25 Aug 1825,https://en.wikipedia.org/wiki/Charles_Cotesworth_Pinckney
ld1-1643399756728-1643399812942-0,Thomas Pinckney,23 Oct 1750 - 2 Nov 1828,https://en.wikipedia.org/wiki/Thomas_Pinckney
ld1-1643399756728-1643399813188-0,Margery Winifred Williams Bianco,22 Jul 1881 - 4 Sep 1944,https://en.wikipedia.org/wiki/Margery_Williams
ld1-1643399756728-1643399813284-1,William Linn,27 Feb 1752 - 8 Jan 1808,https://en.wikipedia.org/wiki/William_Linn_(clergyman)
ld1-1643399756728-1643399813286-0,William Linn,27 Feb 1752 - 8 Jan 1808,https://en.wikipedia.org/wiki/William_Linn_(clergyman)
ld1-1643399756728-1643399813878-0,Daniel Webster,18 Jan 1782 - 24 Oct 1852,https://en.wikipedia.org/wiki/Daniel_Webster
ld1-1643399756728-1643399813879-0,George Linen,29 Apr 1802 - 27 Sep 1888,-
ld1-1643399756728-1643399813991-0,Adolfo Müller-Ury,29 Mar 1862 - 7 Jul 1947,https://en.wikipedia.org/wiki/Adolfo_M%C3%BCller-Ury
ld1-1643399756728-1643399814091-0,Daniel Leonard,18 May 1740 - 27 Jun 1829,https://en.wikipedia.org/wiki/Daniel_Leonard
ld1-1643399756728-1643399814461-0,Thomas Paine,29 Jan 1737 - 8 Jun 1809,https://en.wikipedia.org/wiki/Thomas_Paine
ld1-1643399756728-1643399814786-1,Thomas Ash II,1785 - after 1824,-
ld1-1643399756728-1643399815511-0,William Dunlap,18 Feb 1766 - 28 Sep 1839,https://en.wikipedia.org/wiki/William_Dunlap
ld1-1643399756728-1643399816265-1,Henry Mosler,6 Jun 1841 - 21 Apr 1920,https://en.wikipedia.org/wiki/Henry_Mosler
ld1-1643399756728-1643399817177-0,Pauline Morton Sabin,23 Apr 1887 - 27 Dec 1955,https://en.wikipedia.org/wiki/Pauline_Morton_Sabin
